id,genre,song_name,artist_name,audio,img
3BdDhAW2aADorlqoIu6ZDg,Indian Classical,Raga Jaijaiwanti - Vilambit - Ek Taal - Durt - Teen Taal,Rajan & Sajan Mishra,https://p.scdn.co/mp3-preview/c303ae28120accfff66d52d52eefb2ab953450a3?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b27367c026110b57b7f9a27d1879
7EksNfDGLeyAZ2XznadmHg,Indian Classical,Raag Jhinjhoti Alaap Jod,Ronu Majumdar,https://p.scdn.co/mp3-preview/4b2afc97d93464a09f6439b1c43b4ba8caef05fd?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b2734e6b5ebe1ad5dbb9ee755ae4
1Kq8fBd6WKbr7BEDCLweND,Indian Classical,Romantic Maru Bihag - Jaagu Main Sari Raina,Nirali Kartik,https://p.scdn.co/mp3-preview/a866867bfe5a3db0ee96a99e0d1231668e308635?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273c5c60ea59fbc5540f0b6c8ea
2q7bd1N2zVbZClXJRffuEc,Indian Classical,Hamri Atariya,Rita Dev,https://p.scdn.co/mp3-preview/441919e14149b784c8d111c69d986ccd811d177d?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273ada07835ebc5a322380966ca
3uKf2XtbIOvwKAj0QF9xoK,Indian Classical,Raga Bhinna Kauns - Alap,Shivkumar Sharma,https://p.scdn.co/mp3-preview/a35d5fbbb76604c4f48a75d744c3edbaeff52176?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273aef3ccdc1493ec65e6b02007
6JyggcRCT6CEw7JVDJfODF,Indian Classical,Raga Bhairavii: Baju Band Khul Khul Jani,Shruti Sadolikar,https://p.scdn.co/mp3-preview/fb5a2203de0b6183067a097678ab7a80fc4ba224?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273268d3d42d8ef9bf349337f56
0DtWXjhnx8FMJhj8uTsZWB,Indian Classical,Taaron Bhari Raat - Raga Malkauns - Raga Malkauns - Drut Ektala,Ronkini Gupta,https://p.scdn.co/mp3-preview/3d96c3ee43272d61040abf9ea1f316cd74231656?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273a42fe4e96c982bb2ca363ad8
1pvvfWnFF3va8LrjbUDx8S,Indian Classical,Raag Mishra Shirvranjani Taal Deepchandi,Hariprasad Chaurasia,https://p.scdn.co/mp3-preview/dd54ea6c1593776bbfddd37469709fbe61890938?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273a341d88d6bf1a6c1e3f5ae40
5jc5Dn3oIigJIOHKFGBRde,Indian Classical,Raga Kalavati - Khayal,Parveen Sultana,https://p.scdn.co/mp3-preview/5d307fefa468c20bcbe6e2ef83e419cce3dccc4f?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b27340a6e9174b5b7ebae151e6df
2nEDjd2E33WtY89cBlcGXp,Indian Classical,Hari Dhwani - Raga Lalit - Alap (Sthai),Hariprasad Chaurasia,https://p.scdn.co/mp3-preview/e2e897fbd6526e0ccdfccf18234532ec11178ebc?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b2732583cdcafcae512ee820d599
7e8fqBJhN0n5tkfmZTvZFa,Indian Classical,Raag Bhairavi - Dadra - Rab Tohe Bhoole Nahi Bane,Shubha Joshi,https://p.scdn.co/mp3-preview/c290f320c3cf1f3e508403a392bf70f6471c5dd6?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b27388c1b45c57f3bee56dbf2584
1RVbuCSwWwp6PD1UlhopjV,Indian Classical,Meditative Gurjari Todi,Nirali Kartik,https://p.scdn.co/mp3-preview/a3ca431415d8ae0842517441db4fe22662d2c819?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273c5c60ea59fbc5540f0b6c8ea
